PERIFEREIA	PRCODE	EKL_PERIF	DIMOS	ET	ADDRESS	PLACE	PSIFISAN	AKIRA_LEFKA	EGGIRA	Geor	Meim	Mits	Tzi	rGeor	rMeim	rMits	rTzi	pGeor	pMeim	pMits	pTzi
PATT	39	Β'  ΑΘΗΝΩΝ	ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ	53009	ΑΛΕΞΑΝΔΡΑΣ 65 & ΒΥΡΩΝΟΣ	Α΄ ΚΑΠΗ ΔΑΦΝΗΣ	342	4	338	57	137	115	29	3	1	2	4	16.86%	40.53%	34.02%	8.58%
PATT	39	Β'  ΑΘΗΝΩΝ	ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ	53010	ΑΛΕΞΑΝΔΡΑΣ 65 & ΒΥΡΩΝΟΣ	Α΄ ΚΑΠΗ ΔΑΦΝΗΣ	411	10	401	67	162	129	43	3	1	2	4	16.71%	40.40%	32.17%	10.72%
PATT	39	Β'  ΑΘΗΝΩΝ	ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ	53011	ΠΛΑΤΕΙΑ ΗΡΩΩΝ  & ΠΟΛΥΤΕΧΝΕΙΟΥ 1  	ΑΙΘΟΥΣΑ ΤΕΩΣ ΔΗΜΑΡΧΕΙΟΥ	344	2	342	52	129	110	51	3	1	2	4	15.20%	37.72%	32.16%	14.91%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53012	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	552	11	541	107	123	288	23	3	2	1	4	19.78%	22.74%	53.23%	4.25%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53013	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	774	10	764	156	270	278	60	3	2	1	4	20.42%	35.34%	36.39%	7.85%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53014	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	583	4	579	123	111	294	51	2	3	1	4	21.24%	19.17%	50.78%	8.81%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53015	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	521	10	511	118	90	290	13	2	3	1	4	23.09%	17.61%	56.75%	2.54%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53016	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	444	4	440	101	121	194	24	3	2	1	4	22.95%	27.50%	44.09%	5.45%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53017	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	377	11	366	75	89	181	21	3	2	1	4	20.49%	24.32%	49.45%	5.74%
PATT	39	Β'  ΑΘΗΝΩΝ	ΚΗΦΙΣΙΑΣ	53018	ΛΕΒΙΔΟΥ 42	1ο ΓΥΜΝΑΣΙΟ & ΛΥΚΕΙΟ	346	3	343	76	78	162	27	3	2	1	4	22.16%	22.74%	47.23%	7.87%
