PERIFEREIA	PRCODE	EKL_PERIF	DIMOS	ET	ADDRESS	PLACE	PSIFISAN	AKIRA_LEFKA	EGGIRA	Geor	Meim	Mits	Tzi	rGeor	rMeim	rMits	rTzi	pGeor	pMeim	pMits	pTzi
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ	12059	ΕΙΡΗΝΗΣ 19  ΠΕΥΚΑ	ΚΤΙΡΙΟ ΔΗΜΟΤΙΚΗΣ ΕΝΟΤΗΤΑΣ ΠΕΥΚΩΝ (ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ στο πρώην ΔΗΜΑΡΧΕΙΟ ΠΕΥΚΩΝ)	442	7	435	66	112	114	143	4	3	2	1	15.17%	25.75%	26.21%	32.87%
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ	12060	ΕΙΡΗΝΗΣ 19  ΠΕΥΚΑ	ΚΤΙΡΙΟ ΔΗΜΟΤΙΚΗΣ ΕΝΟΤΗΤΑΣ ΠΕΥΚΩΝ (ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ στο πρώην ΔΗΜΑΡΧΕΙΟ ΠΕΥΚΩΝ)	382	1	381	51	98	100	132	4	3	2	1	13.39%	25.72%	26.25%	34.65%
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΠΑΥΛΟΥΜΕΛΑ	12061	ΛΑΓΚΑΔΑ 221 ΣΤΑΥΡΟΥΠΟΛΗ	"ΑΙΘΟΥΣΑ ΣΥΝΕΔΡΙΑΣΕΩΝ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΔΗΜΟΥ  ΠΑΥΛΟΥ ΜΕΛΑ, ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ ""ΧΡ. ΤΣΑΚΙΡΗΣ"""	531	5	526	50	161	88	227	4	2	3	1	9.51%	30.61%	16.73%	43.16%
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΠΑΥΛΟΥΜΕΛΑ	12062	ΛΑΓΚΑΔΑ 221  ΣΤΑΥΡΟΥΠΟΛΗ	"ΑΙΘΟΥΣΑ ΣΥΝΕΔΡΙΑΣΕΩΝ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΔΗΜΟΥ  ΠΑΥΛΟΥ ΜΕΛΑ, ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ ""ΧΡ. ΤΣΑΚΙΡΗΣ"""	493	11	482	42	135	90	215	4	2	3	1	8.71%	28.01%	18.67%	44.61%
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΠΑΥΛΟΥΜΕΛΑ	12063	ΕΛΠΙΔΟΣ 33 ΠΟΛΙΧΝΗ	ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ ΠΟΛΙΧΝΗΣ	430	7	423	46	112	57	208	4	2	3	1	10.87%	26.48%	13.48%	49.17%
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΠΑΥΛΟΥΜΕΛΑ	12064	ΕΛΠΙΔΟΣ 33 ΠΟΛΙΧΝΗ	ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ ΠΟΛΙΧΝΗΣ	413	4	409	52	109	75	173	4	2	3	1	12.71%	26.65%	18.34%	42.30%
PKM	6	Α'  ΘΕΣ/ΝΙΚΗΣ	ΠΑΥΛΟΥΜΕΛΑ	12065	ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ 24 ΕΥΚΑΡΠΙΑ	ΚΤΙΡΙΟ ΔΗΜΟΤΙΚΗΣ ΕΝΟΤΗΤΑΣ ΕΥΚΑΡΠΙΑΣ	406	9	397	30	86	46	235	4	2	3	1	7.56%	21.66%	11.59%	59.19%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΒΟΛΒΗΣ	13001	ΣΤΑΥΡΟΣ	ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΔΗΜΑΡΧΕΙΟΥ ΡΕΝΤΙΝΑΣ	275	1	274	17	98	36	123	4	2	3	1	6.20%	35.77%	13.14%	44.89%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΒΟΛΒΗΣ	13003	ΑΡΕΘΟΥΣΑ	ΔΗΜΟΤΙΚΟ ΚΑΤΑΣΤΗΜΑ (ΙΣΟΓΕΙΟΣ ΧΩΡΟΣ)	178	1	177	11	48	22	96	4	2	3	1	6.21%	27.12%	12.43%	54.24%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΒΟΛΒΗΣ	13005	ΝΕΑ ΑΠΟΛΛΩΝΙΑ	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΠΟΛΛΑΠΛΩΝ ΧΡΗΣΕΩΝ (ΙΣΟΓΕΙΟ)	164	0	164	4	51	13	96	4	2	3	1	2.44%	31.10%	7.93%	58.54%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΒΟΛΒΗΣ	13006	ΑΣΠΡΟΒΑΛΤΑ	ΑΙΘΟΥΣΑ ΠΟΛΛΑΠΛΩΝ ΧΡΗΣΕΩΝ ΔΗΜΟΥ 	307	0	307	11	65	18	213	4	2	3	1	3.58%	21.17%	5.86%	69.38%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΔΕΛΤΑ	13007	ΑΛ.ΠΑΠΑΓΟΥ 7 ΣΙΝΔΟΣ	ΣΥΝΕΔΡΙΑΚΟ ΚΕΝΤΡΟ 	306	2	304	18	66	42	178	4	2	3	1	5.92%	21.71%	13.82%	58.55%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΔΕΛΤΑ	13008	ΑΛ.ΠΑΠΑΓΟΥ 7 ΣΙΝΔΟΣ	ΣΥΝΕΔΡΙΑΚΟ ΚΕΝΤΡΟ 	399	4	395	15	87	53	240	4	2	3	1	3.80%	22.03%	13.42%	60.76%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΔΕΛΤΑ	13009	ΚΥΜΙΝΑ	ΔΗΜΑΡΧΕΙΟ	318	6	312	5	39	13	255	4	2	3	1	1.60%	12.50%	4.17%	81.73%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΔΕΛΤΑ	13011	ΧΑΛΑΣΤΡΑ	ΔΗΜΑΡΧΕΙΟ (ΙΣΟΓΕΙΟ)	387	4	383	16	47	52	268	4	3	2	1	4.18%	12.27%	13.58%	69.97%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΑΙΚΟΥ	13012	ΝΕΟΙ ΕΠΙΒΑΤΕΣ 	ΚΤΙΡΙΟ ΠΑΛΑΙΑΣ ΔΗΜΟΤΙΚΗΣ ΚΟΙΝΟΤΗΤΑΣ	388	5	383	49	107	119	108	4	3	1	2	12.79%	27.94%	31.07%	28.20%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΑΙΚΟΥ	13013	ΝΕΟΙ ΕΠΙΒΑΤΕΣ 	ΚΤΙΡΙΟ ΠΑΛΑΙΑΣ ΔΗΜΟΤΙΚΗΣ ΚΟΙΝΟΤΗΤΑΣ	495	6	489	59	178	130	122	4	1	2	3	12.07%	36.40%	26.58%	24.95%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΑΙΚΟΥ	13014	ΠΛΑΤΕΙΑ ΜΕΤΑΞΑ	ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ (2οs ΟΡΟΦΟΣ)	431	2	429	28	112	90	199	4	2	3	1	6.53%	26.11%	20.98%	46.39%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΑΙΚΟΥ	13015	Κ.ΒΑΡΝΑΛΗ 2	ΚΑΠΗ	375	6	369	43	110	51	165	4	2	3	1	11.65%	29.81%	13.82%	44.72%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΗΣ	13016	ΚΑΡΑΟΛΗ ΔΗΜΗΤΡΙΟΥ & ΚΑΠΕΤΑΝ ΧΑΨΑ	ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ	424	4	420	54	120	126	120	4	2	1	2	12.86%	28.57%	30.00%	28.57%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΗΣ	13017	ΚΑΡΑΟΛΗ ΔΗΜΗΤΡΙΟΥ & ΚΑΠΕΤΑΝ ΧΑΨΑ	ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ	467	2	465	52	129	147	137	4	3	1	2	11.18%	27.74%	31.61%	29.46%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΗΣ	13018	ΒΑΣΙΛΙΚΑ	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	220	1	219	14	70	36	99	4	2	3	1	6.39%	31.96%	16.44%	45.21%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΗΣ	13019	ΒΑΣΙΛΙΚΑ	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	239	4	235	19	92	37	87	4	1	3	2	8.09%	39.15%	15.74%	37.02%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΘΕΡΜΗΣ	13020	ΠΛΑΤΕΙΑ ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ ΤΡΙΛΟΦΟΣ	ΔΗΜΑΡΧΕΙΟ ΜΙΚΡΑΣ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ 	564	2	562	66	161	181	154	4	2	1	3	11.74%	28.65%	32.21%	27.40%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13021	Ν.ΠΑΠΑΓΕΩΡΓΙΟΥ 2	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	418	3	415	49	124	60	182	4	2	3	1	11.81%	29.88%	14.46%	43.86%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13022	Ν.ΠΑΠΑΓΕΩΡΓΙΟΥ 2	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	360	0	360	37	147	47	129	4	1	3	2	10.28%	40.83%	13.06%	35.83%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13023	ΞΥΛΟΥΠΟΛΗ	ΔΗΜΑΡΧΕΙΟ ΛΑΧΑΝΑ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	185	0	185	12	102	14	57	4	1	3	2	6.49%	55.14%	7.57%	30.81%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13024	ΑΣΣΗΡΟΣ	ΔΗΜΑΡΧΕΙΟ	225	6	219	15	74	38	92	4	2	3	1	6.85%	33.79%	17.35%	42.01%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13025	ΣΟΧΟΣ	ΔΗΜΑΡΧΕΙΟ	370	2	368	15	109	29	215	4	2	3	1	4.08%	29.62%	7.88%	58.42%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13026	ΖΑΓΚΛΙΒΕΡΙ	ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΔΗΜΟΥ ΚΑΛΛΙΝΔΟΙΩΝ	226	2	224	11	65	47	101	4	2	3	1	4.91%	29.02%	20.98%	45.09%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΛΑΓΚΑΔΑ	13027	ΓΕΡΑΚΑΡΟΥ	ΔΗΜΑΡΧΕΙΟ	307	4	303	12	111	48	132	4	2	3	1	3.96%	36.63%	15.84%	43.56%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ	13028	ΠΑΝΟΡΑΜΑ	ΔΗΜΑΡΧΕΙΟ (ΚΑΙΝΟΥΡΓΙΟ)	563	12	551	88	99	260	104	4	3	1	2	15.97%	17.97%	47.19%	18.87%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ	13029	ΠΑΝΟΡΑΜΑ	ΔΗΜΑΡΧΕΙΟ (ΚΑΙΝΟΥΡΓΙΟ)	470	3	467	63	101	206	97	4	2	1	3	13.49%	21.63%	44.11%	20.77%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ	13030	ΠΑΝΟΡΑΜΑ	ΔΗΜΑΡΧΕΙΟ (ΚΑΙΝΟΥΡΓΙΟ)	583	3	580	61	144	262	113	4	2	1	3	10.52%	24.83%	45.17%	19.48%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ	13031	ΠΟΛΥΤΕΧΝΕΙΟΥ 20	ΠΕΤΡΙΝΟ ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ	557	14	543	57	185	178	123	4	1	2	3	10.50%	34.07%	32.78%	22.65%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ	13032	ΠΟΛΥΤΕΧΝΕΙΟΥ 20	ΠΕΤΡΙΝΟ ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ	574	1	573	62	194	168	149	4	1	2	3	10.82%	33.86%	29.32%	26.00%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΧΑΛΚΗΔΟΝΟΣ	13033	ΡΗΓΑ ΦΕΡΡΑΙΟΥ 78	ΔΗΜΑΡΧΕΙΟ	215	2	213	24	62	29	98	4	2	3	1	11.27%	29.11%	13.62%	46.01%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΧΑΛΚΗΔΟΝΟΣ	13034	ΡΗΓΑ ΦΕΡΡΑΙΟΥ 78	ΔΗΜΑΡΧΕΙΟ	216	3	213	18	62	37	96	4	2	3	1	8.45%	29.11%	17.37%	45.07%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΧΑΛΚΗΔΟΝΟΣ	13035	ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ 36 	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	447	4	443	40	120	56	227	4	2	3	1	9.03%	27.09%	12.64%	51.24%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΧΑΛΚΗΔΟΝΟΣ	13036	ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ	ΑΙΘΟΥΣΑ ΜΟΡΦΩΤΙΚΟΥ ΣΥΛΛΟΓΟΥ	492	5	487	31	80	65	311	4	2	3	1	6.37%	16.43%	13.35%	63.86%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΩΡΑΙΟΚΑΣΤΡΟΥ	13037	ΤΡΑΠΕΖΟΥΝΤΟΣ & ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ	"ΚΤΙΡΙΟ ΔΙΟΙΚΗΣΗΣ ΔΗΜΟΥ ""Ι.ΚΑΠΟΔΙΣΤΡΙΑΣ"" ΑΙΘΟΥΣΑ ΚΑΠΗ"	629	4	625	88	104	170	263	4	3	2	1	14.08%	16.64%	27.20%	42.08%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΩΡΑΙΟΚΑΣΤΡΟΥ	13038	ΤΡΑΠΕΖΟΥΝΤΟΣ & ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ	"ΚΤΙΡΙΟ ΔΙΟΙΚΗΣΗΣ ΔΗΜΟΥ ""Ι.ΚΑΠΟΔΙΣΤΡΙΑΣ"" ΑΙΘΟΥΣΑ ΚΑΠΗ"	637	6	631	101	103	174	253	4	3	2	1	16.01%	16.32%	27.58%	40.10%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΩΡΑΙΟΚΑΣΤΡΟΥ	13039	ΠΕΝΤΑΛΟΦΟΣ	ΔΗΜΑΡΧΕΙΟ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ (ΥΠΟΓΕΙΟ)	194	3	191	16	55	26	94	4	2	3	1	8.38%	28.80%	13.61%	49.21%
PKM	7	Β'  ΘΕΣ/ΝΙΚΗΣ	ΩΡΑΙΟΚΑΣΤΡΟΥ	13040	ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 2 ΛΗΤΗ	ΔΗΜΑΡΧΕΙΟ ΜΥΓΔΟΝΙΑΣ ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	310	7	303	27	62	71	143	4	3	2	1	8.91%	20.46%	23.43%	47.19%
PKM	8	ΣΕΡΡΩΝ	ΑΜΦΙΠΟΛΗΣ	10001	ΠΡΩΤΗ	ΚΕΠ	202	4	198	6	114	24	54	4	1	3	2	3.03%	57.58%	12.12%	27.27%
PKM	8	ΣΕΡΡΩΝ	ΑΜΦΙΠΟΛΗΣ	10002	ΠΑΛΑΙΟΚΩΜΗ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΑΜΦΙΠΟΛΗΣ	162	0	162	6	66	42	48	4	1	3	2	3.70%	40.74%	25.93%	29.63%
PKM	8	ΣΕΡΡΩΝ	ΑΜΦΙΠΟΛΗΣ	10003	ΝΕΑ ΜΠΑΦΡΑ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΚΟΡΜΙΣΤΑΣ	178	1	177	21	103	18	35	3	1	4	2	11.86%	58.19%	10.17%	19.77%
PKM	8	ΣΕΡΡΩΝ	ΑΜΦΙΠΟΛΗΣ	10004	ΡΟΔΟΛΙΒΟΥΣ	ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	153	0	153	22	60	23	48	4	1	3	2	14.38%	39.22%	15.03%	31.37%
PKM	8	ΣΕΡΡΩΝ	ΒΙΣΑΛΤΙΑΣ	10005	ΔΗΜΗΤΡΗΤΣΙ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΒΙΣΑΛΤΙΑΣ	207	4	203	18	95	38	52	4	1	3	2	8.87%	46.80%	18.72%	25.62%
PKM	8	ΣΕΡΡΩΝ	ΒΙΣΑΛΤΙΑΣ	10006	ΣΙΤΟΧΩΡΙ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΑΧΙΝΟΥ	197	1	196	24	57	35	80	4	2	3	1	12.24%	29.08%	17.86%	40.82%
PKM	8	ΣΕΡΡΩΝ	ΒΙΣΑΛΤΙΑΣ	10007	ΝΙΓΡΙΤΑ	ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	345	1	344	26	122	70	126	4	2	3	1	7.56%	35.47%	20.35%	36.63%
PKM	8	ΣΕΡΡΩΝ	ΒΙΣΑΛΤΙΑΣ	10008	ΜΑΥΡΟΘΑΛΑΣΣΑ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΤΡΑΓΙΛΟΥ	286	3	283	25	131	58	69	4	1	3	2	8.83%	46.29%	20.49%	24.38%
PKM	8	ΣΕΡΡΩΝ	ΕΜΜΑΝΟΥΗΛΠΑΠΠΑ	10009	ΧΡΥΣΟΥΠΟΛΗ	ΚΑΠΗ 	341	4	337	42	129	84	82	4	1	2	3	12.46%	38.28%	24.93%	24.33%
PKM	8	ΣΕΡΡΩΝ	ΕΜΜΑΝΟΥΗΛΠΑΠΠΑ	10010	ΝΕΟΣ ΣΚΟΠΟΣ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΣΤΡΥΜΩΝΑ	172	0	172	21	101	17	33	3	1	4	2	12.21%	58.72%	9.88%	19.19%
PKM	8	ΣΕΡΡΩΝ	ΗΡΑΚΛΕΙΑΣ	10011	ΗΡΑΚΛΕΙΑ	ΚΑΠΗ 	208	3	205	26	92	24	63	3	1	4	2	12.68%	44.88%	11.71%	30.73%
PKM	8	ΣΕΡΡΩΝ	ΗΡΑΚΛΕΙΑΣ	10012	ΗΡΑΚΛΕΙΑ	ΚΑΠΗ 	217	5	212	20	110	26	56	4	1	3	2	9.43%	51.89%	12.26%	26.42%
PKM	8	ΣΕΡΡΩΝ	ΗΡΑΚΛΕΙΑΣ	10013	ΣΚΟΤΟΥΣΑ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ	202	0	202	13	83	44	62	4	1	3	2	6.44%	41.09%	21.78%	30.69%
PKM	8	ΣΕΡΡΩΝ	ΗΡΑΚΛΕΙΑΣ	10014	ΣΤΡΥΜΟΝΙΚΟ	ΑΙΘΟΥΣΑ ΠΟΛΛΑΠΛΩΝ ΧΡΗΣΕΩΝ	209	2	207	8	107	36	56	4	1	3	2	3.86%	51.69%	17.39%	27.05%
PKM	8	ΣΕΡΡΩΝ	ΝΕΑΣΖΙΧΝΗΣ	10015	ΑΛΙΣΤΡΑΤΗ	ΚΑΦΕΝΕΙΟ ΧΡΙΣΤΟΠΟΥΛΟΥ ΧΡΗΣΤΟΥ	295	1	294	40	108	39	107	3	1	4	2	13.61%	36.73%	13.27%	36.39%
PKM	8	ΣΕΡΡΩΝ	ΝΕΑΣΖΙΧΝΗΣ	10016	ΝΕΑ ΖΙΧΝΗ	ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ	285	2	283	19	98	58	108	4	2	3	1	6.71%	34.63%	20.49%	38.16%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10017	ΑΓΙΑΣ ΣΟΦΙΑΣ 1	"ΞΕΝΟΔΟΧΕΙΟ ""ΦΙΛΙΠΠΟΣ ΞΕΝΙΑ"""	341	4	337	42	129	84	82	4	1	2	3	12.46%	38.28%	24.93%	24.33%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10018	ΑΓΙΑΣ ΣΟΦΙΑΣ 1	"ΞΕΝΟΔΟΧΕΙΟ ""ΦΙΛΙΠΠΟΣ ΞΕΝΙΑ"""	375	1	374	61	154	82	77	4	1	2	3	16.31%	41.18%	21.93%	20.59%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10019	ΑΓΙΑΣ ΣΟΦΙΑΣ 1	"ΞΕΝΟΔΟΧΕΙΟ ""ΦΙΛΙΠΠΟΣ ΞΕΝΙΑ"""	292	2	290	29	110	71	80	4	1	3	2	10.00%	37.93%	24.48%	27.59%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10020	ΑΓΙΑΣ ΣΟΦΙΑΣ 1	"ΞΕΝΟΔΟΧΕΙΟ ""ΦΙΛΙΠΠΟΣ ΞΕΝΙΑ"""	393	2	391	61	159	76	95	4	1	3	2	15.60%	40.66%	19.44%	24.30%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10021	ΑΓΙΑΣ ΣΟΦΙΑΣ 1	"ΞΕΝΟΔΟΧΕΙΟ ""ΦΙΛΙΠΠΟΣ ΞΕΝΙΑ"""	499	1	498	53	211	124	110	4	1	2	3	10.64%	42.37%	24.90%	22.09%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10022	ΑΓΙΑΣ ΣΟΦΙΑΣ 1	"ΞΕΝΟΔΟΧΕΙΟ ""ΦΙΛΙΠΠΟΣ ΞΕΝΙΑ"""	491	3	488	92	169	122	105	4	1	2	3	18.85%	34.63%	25.00%	21.52%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10023	ΠΡΟΒΑΤΑΣ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ ΚΑΠΕΤΑΝ ΜΗΤΡΟΥΣΙΟΥ	163	1	162	23	50	38	51	4	2	3	1	14.20%	30.86%	23.46%	31.48%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10024	ΛΕΥΚΩΝΑΣ	ΑΙΘΟΥΣΑ ΛΑΟΓΡΑΦΙΚΟΥ ΠΟΝΤΙΑΚΟΥ ΣΥΛΛΟΓΟΥ	213	0	213	21	102	35	55	4	1	3	2	9.86%	47.89%	16.43%	25.82%
PKM	8	ΣΕΡΡΩΝ	ΣΕΡΡΩΝ	10025	ΣΚΟΥΤΑΡΙ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ	163	1	162	23	50	38	51	4	2	3	1	14.20%	30.86%	23.46%	31.48%
PKM	8	ΣΕΡΡΩΝ	ΣΙΝΤΙΚΗΣ	10026	ΡΟΔΟΠΟΛΗ	ΑΝΤΙΔΗΜΑΡΧΕΙΟ ΚΕΡΚΙΝΗΣ	274	0	274	21	154	31	68	4	1	3	2	7.66%	56.20%	11.31%	24.82%
PKM	8	ΣΕΡΡΩΝ	ΣΙΝΤΙΚΗΣ	10027	ΝΈΟ ΠΕΤΡΙΤΣΙ	ΚΑΠΗ 	260	2	258	26	99	54	79	4	1	3	2	10.08%	38.37%	20.93%	30.62%
PKM	8	ΣΕΡΡΩΝ	ΣΙΝΤΙΚΗΣ	10028	ΣΙΔΗΡΟΚΑΣΤΡΟ	ΑΙΘΟΥΣΑ ΔΗΜΟΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ	313	8	305	30	121	55	99	4	1	3	2	9.84%	39.67%	18.03%	32.46%
PKM	9	ΧΑΛΚΙΔΙΚΗΣ	ΑΡΙΣΤΟΤΕΛΗ	11001	ΑΡΝΑΙΑ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ	328	0	328	39	136	52	101	4	1	3	2	11.89%	41.46%	15.85%	30.79%
PKM	9	ΧΑΛΚΙΔΙΚΗΣ	ΑΡΙΣΤΟΤΕΛΗ	11002	ΑΡΝΑΙΑ	ΠΡΩΗΝ ΔΗΜΑΡΧΕΙΟ	453	5	448	197	147	32	72	1	2	4	3	43.97%	32.81%	7.14%	16.07%
PKM	9	ΧΑΛΚΙΔΙΚΗΣ	ΑΡΙΣΤΟΤΕΛΗ	11003	ΠΑΝΑΓΙΑ	ΚΕΠ ΜΕΓΑΛΗΣ ΠΑΝΑΓΙΑΣ	140	0	140	37	70	11	22	2	1	4	3	26.43%	50.00%	7.86%	15.71%
